article_name,country,revision_id,population,article_quality
Template:ZambiaProvincialMinisters,Zambia,235107991,15473900,Stub
Gladys Lundwe,Zambia,757566606,15473900,Stub
Mwamba Luchembe,Zambia,764848643,15473900,Stub
Thandiwe Banda,Zambia,768166426,15473900,Stub
Sylvester Chisembele,Zambia,776082926,15473900,Stub
Victoria Kalima,Zambia,776530837,15473900,Stub
Margaret Mwanakatwe,Zambia,779747587,15473900,Stub
Nkandu Luo,Zambia,779747961,15473900,Stub
Susan Nakazwe,Zambia,779748181,15473900,Stub
Catherine Namugala,Zambia,779748285,15473900,Stub
Edith Nawakwi,Zambia,779748522,15473900,Stub
Joyce Nonde-Simukoko,Zambia,779748628,15473900,Start
Gladys Nyirongo,Zambia,779748837,15473900,Stub
Vera Tembo,Zambia,779748931,15473900,Stub
Ompie Nkumbula-Lieventhal,Zambia,790011468,15473900,Stub
Besnat Jere,Zambia,791225634,15473900,Stub
Esther Lungu,Zambia,792296625,15473900,Stub
Inonge Wina,Zambia,794006130,15473900,Stub
Maureen Mwanawasa,Zambia,795820299,15473900,Stub
First Lady of Zambia,Zambia,796467991,15473900,Start
Jean Kapata,Zambia,797469872,15473900,Stub
Peter Sinkamba,Zambia,799512628,15473900,Start
Gwendoline Konie,Zambia,803304465,15473900,Stub
Kenneth Kaunda,Zambia,805875783,15473900,Stub
Inonge Mbikusita-Lewanika,Zambia,805993958,15473900,Stub
Yobert K. Shamapande,Zambia,806345311,15473900,Stub
Bir I of Kanem,Chad,355319463,13707000,Stub
Abdullah II of Kanem,Chad,498683267,13707000,Start
Salmama II of Kanem,Chad,565745353,13707000,C
Kuri I of Kanem,Chad,565745365,13707000,Start
Mohammed I of Kanem,Chad,565745375,13707000,Start
Kuri II of Kanem,Chad,669719757,13707000,C
Bir II of Kanem,Chad,670893206,13707000,Start
Mahamat Hissene,Chad,693055898,13707000,Start
Othman I,Chad,705432607,13707000,Start
Alphonse Kotiga,Chad,707593108,13707000,Start
Oueddei Kichidemi,Chad,708346649,13707000,C
Dunama I,Chad,710675092,13707000,C
Ahmad (Kanem-Bornu king),Chad,711388267,13707000,Stub
Djibrine Kerallah,Chad,712971263,13707000,Stub
Maurice Ngangtar,Chad,712971315,13707000,C
Idriss Miskine,Chad,712971738,13707000,Start
Laoukein Kourayo MÃ©dard,Chad,716886170,13707000,Start
Nadji Madou,Chad,716886788,13707000,Start
NoÃ«l Milarew Odingar,Chad,716891799,13707000,Start
Yaya Dillo DjÃ©rou,Chad,717733209,13707000,Start
Acheikh Ibn-Oumar,Chad,719821590,13707000,Start
Quatre Sou Quatre,Chad,720066754,13707000,B
Ali Gazi,Chad,722563340,13707000,Start
Mahamat Djarma Khatir,Chad,725132042,13707000,C
Dunama IX Lefiami,Chad,731749611,13707000,Stub
Dawud of Kanem,Chad,736550266,13707000,Stub
Ahmed Koulamallah,Chad,738855197,13707000,Start
Abbo Nassour,Chad,741369486,13707000,C
Abdel Kader Baba-LaddÃ©,Chad,742213176,13707000,Stub
Hummay,Chad,747271475,13707000,Stub
Ngarlejy Yorongar,Chad,751304544,13707000,C
Saleh Kezabo,Chad,751380073,13707000,Stub
Bourkou Louise Kabo,Chad,757072468,13707000,Start
Brahim Koulamallah,Chad,757802238,13707000,Stub
Saadie Goukouni Weddeye,Chad,757842614,13707000,Start
Mahamoud Adam BÃ©chir,Chad,762579466,13707000,Start
Kalthouma Nguembang,Chad,762816132,13707000,Stub
Djidingar Dono Ngardoum,Chad,764133533,13707000,Stub
Template:ChadPMs,Chad,768123377,13707000,Stub
Template:ChadPres,Chad,770535091,13707000,Stub
Youssouf Saleh Abbas,Chad,771052289,13707000,C
Koibla Djimasta,Chad,774223245,13707000,Start
Nassour Guelendouksia Ouaido,Chad,774223248,13707000,C
Joseph Brahim Seid,Chad,777478442,13707000,Stub
Joseph Yodoyman,Chad,777550078,13707000,Start
Antoine Bangui,Chad,782638002,13707000,Start
Ibrahim IV of Bornu,Chad,785614014,13707000,Stub
HadjÃ© HalimÃ©,Chad,786449636,13707000,C
Youssouf TogoÃ¯mi,Chad,787390241,13707000,Start
Adoum Younousmi,Chad,787719236,13707000,Start
FranÃ§ois Tombalbaye,Chad,787738541,13707000,C
Ahmat Hassaballah Soubiane,Chad,787910771,13707000,Stub
Ahmad Allam-Mi,Chad,787921293,13707000,Start
Laotegguelnodji Koumtog,Chad,788009613,13707000,Stub
Mahamat Ali Adoum,Chad,788014671,13707000,Start
Mahamat Saleh Annadif,Chad,788658822,13707000,C
Mohamed Bechir-Sow,Chad,788827248,13707000,Stub
GontchomÃ© Sahoulba,Chad,788828388,13707000,Start
Gabriel Lisette,Chad,788828519,13707000,Start
Ali II of Bornu,Chad,788999424,13707000,Stub
Arabi El Goni,Chad,789126126,13707000,Stub
Dunama Dabbalemi,Chad,789935196,13707000,Start
Idris Alooma,Chad,792734868,13707000,Start
Mahamat Nouri,Chad,792954115,13707000,FA
Idriss Ndele Moussa,Chad,796654025,13707000,Start
Mbaydoum Simeon,Chad,796690873,13707000,Stub
Ngarindo Milengar,Chad,796700718,13707000,Stub
List of Prime Ministers of Chad,Chad,797747674,13707000,Start
Idriss DÃ©by,Chad,798286150,13707000,B
Saleh Kebzabo,Chad,798626040,13707000,C
Moussa Faki,Chad,799043301,13707000,C
Template:Chad-politician-stub,Chad,799373925,13707000,Stub
Kalzeubet Pahimi Deubet,Chad,799413193,13707000,Stub
Haroun Kabadi,Chad,799447895,13707000,Start
Nagoum Yamassoum,Chad,799447995,13707000,Stub
Outel Bono,Chad,799448338,13707000,Stub
Ahmat Acyl,Chad,799902492,13707000,Stub
Djimrangar Dadnadji,Chad,800133552,13707000,Stub
Delwa KassirÃ© Koumakoye,Chad,801029539,13707000,Start
FidÃ¨le Moungar,Chad,801192255,13707000,Start
Jean AlinguÃ© Bawoyeu,Chad,801192303,13707000,Stub
Emmanuel Nadingar,Chad,801573576,13707000,Start
Roger Djikisna,Chad,801583221,13707000,Stub
Firmin Djidingar,Chad,801583260,13707000,Stub
Idris I of Kanem,Chad,802874918,13707000,Stub
Vice President of Chad,Chad,803166509,13707000,Stub
HissÃ¨ne HabrÃ©,Chad,803166806,13707000,Stub
Negue Djogo,Chad,803166989,13707000,Stub
Wadel Abdelkader KamouguÃ©,Chad,803167152,13707000,Start
FÃ©lix Malloum,Chad,803167336,13707000,Stub
Lol Mahamat Choua,Chad,803167424,13707000,Stub
Goukouni Oueddei,Chad,803167990,13707000,Stub
Albert Pahimi PadackÃ©,Chad,803433107,13707000,Stub
List of heads of state of Chad,Chad,803812011,13707000,Stub
Elise Loum,Chad,804773540,13707000,C
Agnes Allafi,Chad,805493169,13707000,Stub
Christine Georges Diguibaye,Chad,806337653,13707000,Stub
Pascal Yoadimnadji,Chad,806508985,13707000,Stub
Aissa Koli,Chad,806616268,13707000,Start
Omar I of Kanem,Chad,807425129,13707000,Stub
Template:Zimbabwe-politician-stub,Zimbabwe,391862046,17354000,B
Template:Zimbabwe-mayor-stub,Zimbabwe,444767985,17354000,Start
Jabulani Dube,Zimbabwe,645408814,17354000,C
Fletcher Dulini,Zimbabwe,669981316,17354000,C
Leopold Takawira,Zimbabwe,710060929,17354000,B
Tinos Rusere,Zimbabwe,710524880,17354000,C
Gift Tandare,Zimbabwe,710615823,17354000,Stub
Engelbert Rugeje,Zimbabwe,711448400,17354000,Stub
Max Mnkandla,Zimbabwe,711509855,17354000,Stub
Lovemore Matombo,Zimbabwe,711958194,17354000,Stub
Alfred Nikita Mangena,Zimbabwe,712004487,17354000,GA
Simbi Mubako,Zimbabwe,713121927,17354000,Start
Nicholas Kiti kiti,Zimbabwe,713308132,17354000,C
Aleck Gumbo,Zimbabwe,713580662,17354000,Start
Jabulani Sibanda,Zimbabwe,713618917,17354000,C
Cain Mathema,Zimbabwe,713726531,17354000,C
Patrick Kombayi,Zimbabwe,713740128,17354000,C
Langton Towungana,Zimbabwe,713899377,17354000,Start
Eric Matinenga,Zimbabwe,714455111,17354000,Start
Emmanuel Chiroto,Zimbabwe,714535045,17354000,Start
Muchadeyi Masunda,Zimbabwe,714706533,17354000,Stub
David Butau,Zimbabwe,714967769,17354000,Start
Thompson Samkange,Zimbabwe,715131189,17354000,Start
Nomalanga Khumalo,Zimbabwe,715183334,17354000,Start
Henry Dzinotyiweyi,Zimbabwe,715867004,17354000,Stub
Edward Raradza,Zimbabwe,716017725,17354000,Stub
Rekayi Tangwena,Zimbabwe,716669163,17354000,Stub
Sibonile Nyamudeza,Zimbabwe,717380254,17354000,Stub
Misheck Kagurabadza,Zimbabwe,720008799,17354000,Stub
Morgan Femai,Zimbabwe,721674926,17354000,Stub
Bybit Lydia Tsomondo,Zimbabwe,723082034,17354000,Stub
Kisinoti Mukwazhe,Zimbabwe,723353282,17354000,Stub
David Karimanzira,Zimbabwe,725242133,17354000,Stub
Sobusa Gula-Ndebele,Zimbabwe,726651867,17354000,Stub
Sylvester Nguni,Zimbabwe,726686195,17354000,Stub
Thamsanqa Mahlangu,Zimbabwe,726687480,17354000,Stub
Tichaona Mudzingwa,Zimbabwe,726687648,17354000,Stub
Murisi Zwizwai,Zimbabwe,726687669,17354000,Stub
Samuel Undenge,Zimbabwe,726688144,17354000,Stub
Reuben Marumahoko,Zimbabwe,726688205,17354000,Stub
